"url","name","fgm","fga","fg_perc"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Matt Bryant","24","26","92.3%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Dustin Hopkins","25","31","80.6%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Dan Bailey","21","23","91.3%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Cairo Santos","25","28","89.3%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Caleb Sturgis","25","29","86.2%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Justin Tucker","27","27","100.0%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Josh Lambo","21","24","87.5%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Brandon McManus","23","27","85.2%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Sebastian Janikowski","20","26","76.9%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Adam Vinatieri","20","22","90.9%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Mason Crosby","20","23","87.0%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Wil Lutz","16","22","72.7%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Nick Novak","23","28","82.1%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Matt Prater","21","24","87.5%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Steve Hauschka","22","25","88.0%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Ryan Succop","16","18","88.9%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Stephen Gostkowski","16","20","80.0%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Graham Gano","18","22","81.8%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Mike Nugent","18","23","78.3%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Phil Dawson","15","16","93.8%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Nick Folk","17","20","85.0%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Dan Carpenter","14","18","77.8%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Chandler Catanzaro","14","17","82.4%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Andrew Franks","13","16","81.3%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Jason Myers","15","18","83.3%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Chris Boswell","12","16","75.0%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Greg Zuerlein","15","18","83.3%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Roberto Aguayo","13","19","68.4%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Connor Barth","13","17","76.5%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Cody Parkey","14","18","77.8%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Blair Walsh","12","16","75.0%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Josh Brown","11","12","91.7%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Kai Forbath","6","6","100.0%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Robbie Gould","2","2","100.0%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Patrick Murray","1","2","50.0%"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=80&LeagueID=1","Randy Bullock","0","0","0.0%"
