"url","Team_Name","Conf","Div","Wins","Losses","Home","Road","Streak"
"http://www.nfl.com/standings?category=league","Dallas Cowboys","NFC","NCE","11","1","5-1","6-0","11W"
"http://www.nfl.com/standings?category=league","New England Patriots","AFC","ACE","9","2","3-2","6-0","2W"
"http://www.nfl.com/standings?category=league","Oakland Raiders","AFC","ACW","9","2","4-2","5-0","5W"
"http://www.nfl.com/standings?category=league","Kansas City Chiefs","AFC","ACW","8","3","4-1","4-2","1W"
"http://www.nfl.com/standings?category=league","New York Giants","NFC","NCE","8","3","5-1","3-2","6W"
"http://www.nfl.com/standings?category=league","Seattle Seahawks","NFC","NCW","7","3","5-0","2-3-1","1L"
"http://www.nfl.com/standings?category=league","Atlanta Falcons","NFC","NCS","7","4","3-2","4-2","1W"
"http://www.nfl.com/standings?category=league","Denver Broncos","AFC","ACW","7","4","4-2","3-2","1L"
"http://www.nfl.com/standings?category=league","Detroit Lions","NFC","NCN","7","4","5-1","2-3","3W"
"http://www.nfl.com/standings?category=league","Miami Dolphins","AFC","ACE","7","4","5-1","2-3","6W"
"http://www.nfl.com/standings?category=league","Washington Redskins","NFC","NCE","6","4","4-2","2-2-1","1L"
"http://www.nfl.com/standings?category=league","Baltimore Ravens","AFC","ACN","6","5","4-2","2-3","1W"
"http://www.nfl.com/standings?category=league","Buffalo Bills","AFC","ACE","6","5","3-2","3-3","2W"
"http://www.nfl.com/standings?category=league","Houston Texans","AFC","ACS","6","5","5-1","1-4","2L"
"http://www.nfl.com/standings?category=league","Pittsburgh Steelers","AFC","ACN","6","5","3-2","3-3","2W"
"http://www.nfl.com/standings?category=league","Tampa Bay Buccaneers","NFC","NCS","6","5","2-4","4-1","3W"
"http://www.nfl.com/standings?category=league","Minnesota Vikings","NFC","NCN","6","6","4-2","2-4","2L"
"http://www.nfl.com/standings?category=league","Tennessee Titans","AFC","ACS","6","6","3-3","3-3","1W"
"http://www.nfl.com/standings?category=league","Green Bay Packers","NFC","NCN","5","6","3-2","2-4","1W"
"http://www.nfl.com/standings?category=league","Indianapolis Colts","AFC","ACS","5","6","3-3","2-3","1L"
"http://www.nfl.com/standings?category=league","New Orleans Saints","NFC","NCS","5","6","3-3","2-3","1W"
"http://www.nfl.com/standings?category=league","Philadelphia Eagles","NFC","NCE","5","6","4-1","1-5","2L"
"http://www.nfl.com/standings?category=league","San Diego Chargers","AFC","ACW","5","6","3-2","2-4","1W"
"http://www.nfl.com/standings?category=league","Arizona Cardinals","NFC","NCW","4","6","3-2-1","1-4","2L"
"http://www.nfl.com/standings?category=league","Carolina Panthers","NFC","NCS","4","7","3-3","1-4","1L"
"http://www.nfl.com/standings?category=league","Los Angeles Rams","NFC","NCW","4","7","1-4","3-3","2L"
"http://www.nfl.com/standings?category=league","Cincinnati Bengals","AFC","ACN","3","7","2-2-1","1-5","3L"
"http://www.nfl.com/standings?category=league","New York Jets","AFC","ACE","3","8","1-4","2-4","3L"
"http://www.nfl.com/standings?category=league","Chicago Bears","NFC","NCN","2","9","2-3","0-6","3L"
"http://www.nfl.com/standings?category=league","Jacksonville Jaguars","AFC","ACS","2","9","1-4","1-5","6L"
"http://www.nfl.com/standings?category=league","San Francisco 49ers","NFC","NCW","1","10","1-5","0-5","10L"
"http://www.nfl.com/standings?category=league","Cleveland Browns","AFC","ACN","0","12","0-6","0-6","12L"
